tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,sample_ID,short_name_id,protocol
59732,2,59732,Chryseobacterium,,bacteria,FALSE,679.943,2833,2,,,85.14,193.5,10^-77.7213,,,,,,,,,"[2929799, 536441]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
55193,2,55193,Malassezia,,eukaryota,FALSE,111.604,465,1,,,96.296,324,10^-192.425,,,,,,,,,[76775],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
46123,2,46123,Abiotrophia,,bacteria,FALSE,790.587,3294,3,,,91.9417,789.333,10^-307.653,,,,,,,,,[46125],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
44259,2,44259,Filifactor,,bacteria,FALSE,294.97,1229,1,,,87.045,741,10^-307.653,,,,,,,,,[143361],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
34084,2,34084,Riemerella,,bacteria,FALSE,608.421,2535,2,,,81.666,512.5,10^-209.037,,,,,,,,,[34085],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
32207,2,32207,Rothia,,bacteria,FALSE,818.188,3409,4,,,94.224,689,10^-214.289,,,,,,,,,"[43675, 2047]",1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
32067,2,32067,Leptotrichia,,bacteria,FALSE,7504.09,31266,33,,,93.2547,698.333,10^-246.058,,,,,,,,,"[712362, 712361, 712357, 157688, 157687, 109328]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
29465,2,29465,Veillonella,,bacteria,FALSE,56320.3,234660,191,,,91.6127,987.099,10^-241.594,,,,,,,,,"[2682456, 2682455, 423477, 39778, 39777, 29466]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
5820,2,5820,Plasmodium,,eukaryota,FALSE,153.605,640,1,,,96.078,51,10^-19.6228,,,,,,,,,[5821],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1883,2,1883,Streptomyces,,bacteria,FALSE,51722.9,215505,228,,,99.6967,64.2763,10^-22.7589,,,,,,,,,[319947],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1654,2,1654,Actinomyces,,bacteria,FALSE,318.491,1327,2,,,92.731,344,10^-139.385,,,,,,,,,[55565],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1378,2,1378,Gemella,,bacteria,FALSE,5643.79,23515,20,,,92.0264,832.95,10^-197.464,,,,,,,,,"[84135, 29391, 1379]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1350,2,1350,Enterococcus,,bacteria,FALSE,297.61,1240,1,,,98.758,644,10^-307.653,,,,,,,,,[1351],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1301,2,1301,Streptococcus,,bacteria,FALSE,97245.3,405175,392,,,92.8128,800.566,10^-234.691,,,,,,,,,"[3038077, 2972784, 2819619, 2759692, 2710759, 2610896, 2598453, 2576376, 2382163, 1902136, 1839799, 1759399, 1433513, 1419814, 1234680, 1156431, 712633, 712624, 712623, 684066, 257758, 113107, 78535, 68892, 45634, 28037, 1335, 1328, 1318, 1313, 1311, 1308, 1307, 1304, 1303, 1302]",8,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1243,2,1243,Leuconostoc,,bacteria,FALSE,174.966,729,1,,,96.067,534,10^-307.653,,,,,,,,,[255248],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1016,2,1016,Capnocytophaga,,bacteria,FALSE,11989.1,49953,44,,,92.1916,879.455,10^-238.865,,,,,,,,,"[2545799, 327575, 1019, 1017]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
970,2,970,Selenomonas,,bacteria,FALSE,231.368,964,1,,,84.796,809,10^-307.653,,,,,,,,,[1884263],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
848,2,848,Fusobacterium,,bacteria,FALSE,6621.82,27590,25,,,95.2076,875.2,10^-223.63,,,,,,,,,"[2663009, 1583098, 285729, 76859, 860, 851]",1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
838,2,838,Prevotella,,bacteria,FALSE,124248,517681,428,,,94.5416,988.607,10^-251.588,,,,,,,,,"[1177574, 652716, 589437, 589436, 470565, 282402, 52227, 28137, 28133, 28132, 28131, 28129, 28128]",2,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
836,2,836,Porphyromonas,,bacteria,FALSE,3750.85,15628,15,,,94.7739,753.8,10^-255.85,,,,,,,,,"[28124, 837]",1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
816,2,816,Bacteroides,,bacteria,FALSE,1205.08,5021,4,,,93.579,548.5,10^-202.654,,,,,,,,,"[246787, 820]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
724,2,724,Haemophilus,,bacteria,FALSE,7332.97,30553,26,,,94.4013,937.769,10^-237.59,,,,,,,,,"[2582921, 735, 729, 727, 726]",2,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
590,2,590,Salmonella,,bacteria,FALSE,251.768,1049,1,,,100,86,10^-16.9522,,,,,,,,,[28901],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
570,2,570,Klebsiella,,bacteria,FALSE,174.246,726,1,,,99.797,493,10^-307.653,,,,,,,,,[573],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
561,2,561,Escherichia,,bacteria,FALSE,1339.25,5580,5,,,96.914,820.8,10^-294.061,,,,,,,,,[562],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
538,2,538,Eikenella,,bacteria,FALSE,159.605,665,1,,,92.3506,536,10^-73.8491,,,,,,,,,[539],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
482,2,482,Neisseria,,bacteria,FALSE,10014.3,41725,42,,,95.7261,798.095,10^-266.769,,,,,,,,,"[1871109, 641148, 28449, 490, 488, 487, 484]",1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
469,2,469,Acinetobacter,,bacteria,FALSE,577.94,2408,2,,,98.311,976.5,10^-307.653,,,,,,,,,[40214],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
194,2,194,Campylobacter,,bacteria,FALSE,411.614,1715,2,,,95.9828,663.5,10^-77.9107,,,,,,,,,[199],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
157,2,157,Treponema,,bacteria,FALSE,262.809,1095,1,,,92.568,148,10^-73.3688,,,,,,,,,[2563662],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
-200,2,-200,all taxa with neither family nor genus classification,,,FALSE,13290.4,55375,50,,,92.5657,780.48,10^-213.258,,,,,,,,,"[2960088, 2832643, 2827834, 2827830, 2827558, 2558661, 2548105, 2100421, 77133, 38018]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
-200010841,2,-200010841,non-genus-specific reads in family Microviridae,,viruses,FALSE,199.207,830,1,,,84.7949,684,10^-138.471,,,,,,,,,[2202644],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
-200010860,2,-200010860,non-genus-specific reads in family Inoviridae,,viruses,FALSE,186.726,778,1,,,88.278,418,10^-206.038,,,,,,,,,[2219103],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
-200186803,2,-200186803,non-genus-specific reads in family Lachnospiraceae,,bacteria,FALSE,1366.61,5694,7,,,95.8359,609.571,10^-246.798,,,,,,,,,[712982],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
-200543314,2,-200543314,non-genus-specific reads in family Eubacteriales Family XIII. Incertae Sedis,,bacteria,FALSE,109.924,458,1,,,95.349,301,10^-173.93,,,,,,,,,[143393],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
2974251,2,2974251,Segatella,,bacteria,FALSE,884.172,3639,5,,,91.0016,537.8,10^-223.124,,,,,,,,,[28135],0,NTCs_2,NTCs_2,eSISPA
2905967,2,2905967,Candidatus Minimicrobia,,bacteria,FALSE,206.04,848,1,,,86.33,534,10^-81.3588,,,,,,,,,[2841263],0,NTCs_2,NTCs_2,eSISPA
2742598,2,2742598,Limosilactobacillus,,bacteria,FALSE,945.401,3891,5,,,97.9197,619.4,10^-218.773,,,,,,,,,[1633],0,NTCs_2,NTCs_2,eSISPA
2529408,2,2529408,Schaalia,,bacteria,FALSE,972.128,4001,7,,,94.0613,371.143,10^-129.726,,,,,,,,,[1660],0,NTCs_2,NTCs_2,eSISPA
1912216,2,1912216,Cutibacterium,,bacteria,FALSE,130.233,536,1,,,97.65,383,10^-236.954,,,,,,,,,[1747],0,NTCs_2,NTCs_2,eSISPA
1866885,2,1866885,Mycolicibacterium,,bacteria,FALSE,305.172,1256,2,,,90.9325,124.5,10^-48.4764,,,,,,,,,"[388459, 59813]",0,NTCs_2,NTCs_2,eSISPA
1164882,2,1164882,Lachnoanaerobaculum,,bacteria,FALSE,2013.26,8286,9,,,89.5717,732.889,10^-185.431,,,,,,,,,"[2490855, 617123]",0,NTCs_2,NTCs_2,eSISPA
1093071,2,1093071,Phorcus,,eukaryota,FALSE,409.406,1685,1,,,81.513,119,10^-38.468,,,,,,,,,[1620919],0,NTCs_2,NTCs_2,eSISPA
416916,2,416916,Aggregatibacter,,bacteria,FALSE,373.204,1536,2,,,94.9742,600.5,10^-65.3376,,,,,,,,,"[2866570, 2820817]",0,NTCs_2,NTCs_2,eSISPA
216851,2,216851,Faecalibacterium,,bacteria,FALSE,194.62,801,1,,,90.0154,651,10^-152.178,,,,,,,,,[2929490],0,NTCs_2,NTCs_2,eSISPA
212742,2,212742,Morococcus,,bacteria,FALSE,331.17,1363,2,,,97.34,485.5,10^-272.305,,,,,,,,,[1056807],0,NTCs_2,NTCs_2,eSISPA
195950,2,195950,Tannerella,,bacteria,FALSE,5660.26,23296,25,,,93.2058,622.8,10^-183.525,,,,,,,,,"[712710, 28112]",1,NTCs_2,NTCs_2,eSISPA
162289,2,162289,Peptoniphilus,,bacteria,FALSE,422.284,1738,1,,,80.833,600,10^-240.19,,,,,,,,,[3016343],0,NTCs_2,NTCs_2,eSISPA
117563,2,117563,Granulicatella,,bacteria,FALSE,1283.13,5281,8,,,88.3448,459.75,10^-165.392,,,,,,,,,"[137732, 46124]",0,NTCs_2,NTCs_2,eSISPA
86331,2,86331,Mogibacterium,,bacteria,FALSE,97.1885,400,1,,,93.304,224,10^-119.849,,,,,,,,,[114527],0,NTCs_2,NTCs_2,eSISPA
59732,2,59732,Chryseobacterium,,bacteria,FALSE,273.343,1125,1,,,82.111,777,10^-307.653,,,,,,,,,[2864040],0,NTCs_2,NTCs_2,eSISPA
48736,2,48736,Ralstonia,,bacteria,FALSE,160.847,662,1,,,99.165,479,10^-307.653,,,,,,,,,[329],1,NTCs_2,NTCs_2,eSISPA
46255,2,46255,Weissella,,bacteria,FALSE,995.696,4098,5,,,97.907,619,10^-272.29,,,,,,,,,[1583],0,NTCs_2,NTCs_2,eSISPA
46123,2,46123,Abiotrophia,,bacteria,FALSE,329.955,1358,2,,,90.65,498.5,10^-113.567,,,,,,,,,[46125],1,NTCs_2,NTCs_2,eSISPA
44259,2,44259,Filifactor,,bacteria,FALSE,280.146,1153,1,,,96.398,694,10^-81.6424,,,,,,,,,[143361],0,NTCs_2,NTCs_2,eSISPA
40323,2,40323,Stenotrophomonas,,bacteria,FALSE,474.766,1954,1,,,98.443,1413,10^-307.653,,,,,,,,,[40324],1,NTCs_2,NTCs_2,eSISPA
32257,2,32257,Kingella,,bacteria,FALSE,188.789,777,1,,,86.733,505,10^-240.951,,,,,,,,,[1522312],0,NTCs_2,NTCs_2,eSISPA
32207,2,32207,Rothia,,bacteria,FALSE,3037.63,12502,14,,,92.7397,711.857,10^-230.878,,,,,,,,,[43675],0,NTCs_2,NTCs_2,eSISPA
32067,2,32067,Leptotrichia,,bacteria,FALSE,8938.67,36789,50,,,94.2466,549.98,10^-143.433,,,,,,,,,"[712362, 712357, 554406, 157688, 157687, 109328, 40542]",0,NTCs_2,NTCs_2,eSISPA
29465,2,29465,Veillonella,,bacteria,FALSE,31715.5,130532,142,,,91.9162,696.592,10^-216.644,,,,,,,,,"[2682456, 2682455, 423477, 39778, 39777, 29466]",0,NTCs_2,NTCs_2,eSISPA
28100,2,28100,Phyllobacterium,,bacteria,FALSE,305.415,1257,1,,,88.17,1082,10^-307.653,,,,,,,,,[2718938],0,NTCs_2,NTCs_2,eSISPA
13687,2,13687,Sphingomonas,,bacteria,FALSE,289.379,1191,1,,,96.186,1075,10^-307.653,,,,,,,,,[2219696],0,NTCs_2,NTCs_2,eSISPA
5820,2,5820,Plasmodium,,eukaryota,FALSE,88.9274,366,2,,,99.0195,50.5,10^-21.3426,,,,,,,,,[5821],0,NTCs_2,NTCs_2,eSISPA
5761,2,5761,Naegleria,,eukaryota,FALSE,922.318,3796,9,,,93.8156,260.222,10^-139.344,,,,,,,,,[5763],1,NTCs_2,NTCs_2,eSISPA
5543,2,5543,Trichoderma,,eukaryota,FALSE,148.941,613,1,,,98.276,58,10^-25.7426,,,,,,,,,[29875],0,NTCs_2,NTCs_2,eSISPA
4564,2,4564,Triticum,,eukaryota,FALSE,97.9174,403,1,,,94.805,154,10^-81.5857,,,,,,,,,[4571],0,NTCs_2,NTCs_2,eSISPA
2717,2,2717,Cardiobacterium,,bacteria,FALSE,327.525,1348,1,,,91.3959,1232,10^-177.22,,,,,,,,,[2718],1,NTCs_2,NTCs_2,eSISPA
1654,2,1654,Actinomyces,,bacteria,FALSE,645.574,2657,5,,,95.6571,364,10^-95.7987,,,,,,,,,"[249061, 55565]",0,NTCs_2,NTCs_2,eSISPA
1378,2,1378,Gemella,,bacteria,FALSE,2182.61,8983,12,,,91.3894,575.75,10^-162.479,,,,,,,,,"[84135, 29391, 1379]",0,NTCs_2,NTCs_2,eSISPA
1357,2,1357,Lactococcus,lactic streptococci,bacteria,FALSE,84.311,347,1,,,83.871,124,10^-44.6258,,,,,,,,,[2749961],0,NTCs_2,NTCs_2,eSISPA
1301,2,1301,Streptococcus,,bacteria,FALSE,53084.3,218480,257,,,92.279,605.7,10^-212.136,,,,,,,,,"[2972784, 2759692, 2710759, 2610896, 2598453, 1902136, 1839799, 1759399, 1433513, 1234680, 1156431, 712633, 712623, 684066, 113107, 76860, 68892, 45634, 28037, 1349, 1343, 1338, 1336, 1335, 1328, 1318, 1314, 1313, 1308, 1305, 1304, 1303, 1302]",9,NTCs_2,NTCs_2,eSISPA
1243,2,1243,Leuconostoc,,bacteria,FALSE,1225.3,5043,4,,,97.121,1015.5,10^-221.325,,,,,,,,,[1246],0,NTCs_2,NTCs_2,eSISPA
1016,2,1016,Capnocytophaga,,bacteria,FALSE,259.979,1070,2,,,90.51,378,10^-198.534,,,,,,,,,"[1705617, 1017]",0,NTCs_2,NTCs_2,eSISPA
970,2,970,Selenomonas,,bacteria,FALSE,325.581,1340,1,,,88.043,184,10^-82.8808,,,,,,,,,[712528],0,NTCs_2,NTCs_2,eSISPA
848,2,848,Fusobacterium,,bacteria,FALSE,2255.02,9281,14,,,94.9774,487.214,10^-202.218,,,,,,,,,"[2663009, 671211, 860]",0,NTCs_2,NTCs_2,eSISPA
838,2,838,Prevotella,,bacteria,FALSE,38355.4,157860,185,,,94.0536,625.935,10^-197.738,,,,,,,,,"[1177574, 712471, 652716, 589437, 470565, 282402, 52227, 28137, 28133, 28132, 28131, 28129]",2,NTCs_2,NTCs_2,eSISPA
836,2,836,Porphyromonas,,bacteria,FALSE,2439.43,10040,10,,,88.2859,742.8,10^-279.929,,,,,,,,,"[712435, 28124]",0,NTCs_2,NTCs_2,eSISPA
816,2,816,Bacteroides,,bacteria,FALSE,215.272,886,1,,,91.892,74,10^-29.7539,,,,,,,,,[2650158],0,NTCs_2,NTCs_2,eSISPA
724,2,724,Haemophilus,,bacteria,FALSE,4466.3,18382,20,,,95.3643,654.8,10^-217.599,,,,,,,,,[729],1,NTCs_2,NTCs_2,eSISPA
561,2,561,Escherichia,,bacteria,FALSE,663.311,2730,3,,,97.8907,758.333,10^-307.653,,,,,,,,,[562],1,NTCs_2,NTCs_2,eSISPA
482,2,482,Neisseria,,bacteria,FALSE,15610.9,64250,75,,,95.1596,674.533,10^-215.169,,,,,,,,,"[1871109, 641148, 33053, 28449, 496, 490, 488, 487, 484]",1,NTCs_2,NTCs_2,eSISPA
374,2,374,Bradyrhizobium,,bacteria,FALSE,107.15,441,1,,,98.491,265,10^-163.006,,,,,,,,,[2715960],0,NTCs_2,NTCs_2,eSISPA
286,2,286,Pseudomonas,,bacteria,FALSE,19335.2,79578,83,,,95.7396,752.663,10^-230.987,,,,,,,,,"[3003351, 2864101, 2762577, 1173283, 76761, 76760, 75588, 47878, 46677, 301, 294, 287]",2,NTCs_2,NTCs_2,eSISPA
194,2,194,Campylobacter,,bacteria,FALSE,242.242,997,1,,,92.607,771,10^-307.653,,,,,,,,,[199],0,NTCs_2,NTCs_2,eSISPA
-200,2,-200,all taxa with neither family nor genus classification,,,FALSE,38040.1,156562,185,,,90.3042,615.562,10^-194.152,,,,,,,,,"[2960088, 2832643, 2827978, 2827580, 2827558, 2825396, 2823564, 2100421, 77133, 38018]",0,NTCs_2,NTCs_2,eSISPA
-200010841,2,-200010841,non-genus-specific reads in family Microviridae,,viruses,FALSE,208.469,858,1,,,94.661,693,10^-307.653,,,,,,,,,[2202644],0,NTCs_2,NTCs_2,eSISPA
-200010860,2,-200010860,non-genus-specific reads in family Inoviridae,,viruses,FALSE,268.969,1107,1,,,96.839,949,10^-307.653,,,,,,,,,[2219103],0,NTCs_2,NTCs_2,eSISPA
-200186803,2,-200186803,non-genus-specific reads in family Lachnospiraceae,,bacteria,FALSE,1270.5,5229,8,,,91.6633,481.875,10^-129.507,,,,,,,,,"[712991, 712982]",0,NTCs_2,NTCs_2,eSISPA
-200543314,2,-200543314,non-genus-specific reads in family Eubacteriales Family XIII. Incertae Sedis,,bacteria,FALSE,361.055,1486,2,,,94.2652,593.5,10^-210.025,,,,,,,,,[143393],0,NTCs_2,NTCs_2,eSISPA
-202169529,2,-202169529,non-genus-specific reads in family Ackermannviridae,,viruses,FALSE,227.664,937,1,,,86.705,173,10^-73.9872,,,,,,,,,[2831612],0,NTCs_2,NTCs_2,eSISPA
2979332,2,2979332,Prescottella,,bacteria,FALSE,686.817,4534,9,,,96.24,56.5556,10^-22.4851,,,,,,,,,[1323361],0,NTCs_1,NTCs_1,eSISPA
2800373,2,2800373,Priestia,,bacteria,FALSE,684.696,4520,7,,,98.356,417.714,10^-252.752,,,,,,,,,[412384],0,NTCs_1,NTCs_1,eSISPA
2767887,2,2767887,Ligilactobacillus,,bacteria,FALSE,196.623,1298,1,,,89.149,599,10^-307.653,,,,,,,,,[1622],0,NTCs_1,NTCs_1,eSISPA
1920774,2,1920774,Drulisvirus,,viruses,TRUE,161.328,1065,1,,,100,43,10^-16.9522,,,,,,,,,[3044024],0,NTCs_1,NTCs_1,eSISPA
1920762,2,1920762,Litunavirus,,viruses,TRUE,166.024,1096,3,,,99.4253,53.3333,10^-23.4928,,,,,,,,,[3058783],0,NTCs_1,NTCs_1,eSISPA
1866885,2,1866885,Mycolicibacterium,,bacteria,FALSE,1265.17,8352,17,,,98.8117,52.6471,10^-22.5976,,,,,,,,,[59813],0,NTCs_1,NTCs_1,eSISPA
1164882,2,1164882,Lachnoanaerobaculum,,bacteria,FALSE,908.889,6000,4,,,87.1145,963.25,10^-304.66,,,,,,,,,"[2490855, 617123]",0,NTCs_1,NTCs_1,eSISPA
390846,2,390846,Echinicola,,bacteria,FALSE,156.026,1030,1,,,80.24,167,10^-56.1617,,,,,,,,,[1807691],0,NTCs_1,NTCs_1,eSISPA
359336,2,359336,Castellaniella,,bacteria,FALSE,73.923,488,1,,,86.076,237,10^-104.043,,,,,,,,,[75697],0,NTCs_1,NTCs_1,eSISPA
173369,2,173369,Cephaleuros,,eukaryota,FALSE,579.417,3825,13,,,99.7124,50.1538,10^-21.5834,,,,,,,,,[1985640],0,NTCs_1,NTCs_1,eSISPA
165779,2,165779,Anaerococcus,,bacteria,FALSE,96.6452,638,1,,,97.941,340,10^-210.245,,,,,,,,,[3036300],0,NTCs_1,NTCs_1,eSISPA
117563,2,117563,Granulicatella,,bacteria,FALSE,1282.44,8466,7,,,86.7776,798.571,10^-200.722,,,,,,,,,[46124],0,NTCs_1,NTCs_1,eSISPA
93681,2,93681,Roseateles,,bacteria,FALSE,97.4026,643,1,,,94.165,497,10^-287.619,,,,,,,,,[1658665],0,NTCs_1,NTCs_1,eSISPA
86331,2,86331,Mogibacterium,,bacteria,FALSE,137.242,906,1,,,85.016,634,10^-290.944,,,,,,,,,[114527],0,NTCs_1,NTCs_1,eSISPA
67575,2,67575,Rheinheimera,,bacteria,FALSE,144.059,951,2,,,98.3975,156,10^-90.5005,,,,,,,,,[3019969],0,NTCs_1,NTCs_1,eSISPA
55193,2,55193,Malassezia,,eukaryota,FALSE,1475.58,9741,11,,,98.1751,604.455,10^-195.155,,,,,,,,,"[1514897, 1381934]",0,NTCs_1,NTCs_1,eSISPA
52972,2,52972,Polaromonas,,bacteria,FALSE,2367.96,15632,22,,,95.348,484.409,10^-287.848,,,,,,,,,[2895563],0,NTCs_1,NTCs_1,eSISPA
46123,2,46123,Abiotrophia,,bacteria,FALSE,175.718,1160,1,,,96.308,975,10^-100.793,,,,,,,,,[46125],1,NTCs_1,NTCs_1,eSISPA
44259,2,44259,Filifactor,,bacteria,FALSE,235.554,1555,1,,,97.049,1220,10^-307.653,,,,,,,,,[143361],0,NTCs_1,NTCs_1,eSISPA
40323,2,40323,Stenotrophomonas,,bacteria,FALSE,782.553,5166,9,,,97.4468,321.889,10^-196.033,,,,,,,,,"[3051118, 2005046, 40324]",1,NTCs_1,NTCs_1,eSISPA
32207,2,32207,Rothia,,bacteria,FALSE,444.75,2936,4,,,93.4208,443,10^-220.193,,,,,,,,,[43675],0,NTCs_1,NTCs_1,eSISPA
32067,2,32067,Leptotrichia,,bacteria,FALSE,2306.46,15226,13,,,93.0292,809.692,10^-160.882,,,,,,,,,"[712362, 712357, 554406, 157688, 157687, 109328]",0,NTCs_1,NTCs_1,eSISPA
29465,2,29465,Veillonella,,bacteria,FALSE,13252.2,87484,68,,,91.366,936.632,10^-248.785,,,,,,,,,"[2682456, 2682455, 423477, 39778, 39777, 29466]",0,NTCs_1,NTCs_1,eSISPA
5820,2,5820,Plasmodium,,eukaryota,FALSE,212.377,1402,4,,,98.75,58.5,10^-26.4271,,,,,,,,,[5821],0,NTCs_1,NTCs_1,eSISPA
5543,2,5543,Trichoderma,,eukaryota,FALSE,942.215,6220,14,,,99.3354,53.6429,10^-23.573,,,,,,,,,"[101201, 63577, 29875]",0,NTCs_1,NTCs_1,eSISPA
5502,2,5502,Curvularia,,eukaryota,FALSE,76.0437,502,2,,,98.9795,46.5,10^-18.6343,,,,,,,,,[95742],0,NTCs_1,NTCs_1,eSISPA
4930,2,4930,Saccharomyces,,eukaryota,FALSE,70.8933,468,2,,,99.2425,57.5,10^-26.0943,,,,,,,,,[4932],1,NTCs_1,NTCs_1,eSISPA
1485,2,1485,Clostridium,,bacteria,FALSE,157.995,1043,1,,,80.275,436,10^-167.593,,,,,,,,,[1502],1,NTCs_1,NTCs_1,eSISPA
1378,2,1378,Gemella,,bacteria,FALSE,1719.31,11350,8,,,91.4798,1069.25,10^-251.378,,,,,,,,,"[84135, 1379]",0,NTCs_1,NTCs_1,eSISPA
1350,2,1350,Enterococcus,,bacteria,FALSE,222.375,1468,1,,,98.652,816,10^-307.653,,,,,,,,,[44008],0,NTCs_1,NTCs_1,eSISPA
1301,2,1301,Streptococcus,,bacteria,FALSE,21399,141265,118,,,92.7488,892.28,10^-250.562,,,,,,,,,"[2972784, 2819619, 2759692, 2710759, 2610896, 2382163, 1759399, 1419814, 1234680, 1156431, 712633, 712623, 684066, 257758, 113107, 68892, 28037, 1328, 1318, 1313, 1305, 1304, 1303]",5,NTCs_1,NTCs_1,eSISPA
1016,2,1016,Capnocytophaga,,bacteria,FALSE,1995.62,13174,13,,,93.1647,776.615,10^-217.002,,,,,,,,,"[2545799, 327575, 1019, 1017]",0,NTCs_1,NTCs_1,eSISPA
848,2,848,Fusobacterium,,bacteria,FALSE,2074.39,13694,14,,,94.6934,734,10^-192.016,,,,,,,,,"[2663009, 860]",0,NTCs_1,NTCs_1,eSISPA
