"tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","nt_bpm","nt_base_count","nt_count","nt_contigs","nt_contig_b","nt_percent_identity","nt_alignment_length","nt_e_value","nr_bpm","nr_base_count","nr_count","nr_contigs","nr_contig_b","nr_percent_identity","nr_alignment_length","nr_e_value","species_tax_ids","known_pathogen","sample_ID","short_name_id","protocol","mean_nt_bpm","sd_nt_bpm","z_score"
44259,2,"44259","Filifactor","","bacteria",FALSE,294.97,1229,1,NA,NA,87.045,741,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[143361]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",257.85,25.7452032037038,1.42530231345264
34084,2,"34084","Riemerella","","bacteria",FALSE,608.421,2535,2,NA,NA,81.666,512.5,"10^-209.037",NA,NA,NA,NA,NA,NA,NA,"","[34085]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,609.421
32207,2,"32207","Rothia","","bacteria",FALSE,818.188,3409,4,NA,NA,94.224,689,"10^-214.289",NA,NA,NA,NA,NA,NA,NA,"","[43675, 2047]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",1741.19,1496.9999659764,-0.615488665514781
32067,2,"32067","Leptotrichia","","bacteria",FALSE,7504.09,31266,33,NA,NA,93.2547,698.333,"10^-246.058",NA,NA,NA,NA,NA,NA,NA,"","[712362, 712361, 712357, 157688, 157687, 109328]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",5622.565,3829.10822882213,0.491506998636154
29465,2,"29465","Veillonella","","bacteria",FALSE,56320.3,234660,191,NA,NA,91.6127,987.099,"10^-241.594",NA,NA,NA,NA,NA,NA,NA,"","[2682456, 2682455, 423477, 39778, 39777, 29466]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",22483.85,10659.7912251288,3.17400925366974
5820,2,"5820","Plasmodium","","eukaryota",FALSE,153.605,640,1,NA,NA,96.078,51,"10^-19.6228",NA,NA,NA,NA,NA,NA,NA,"","[5821]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",150.6522,71.2736597913516,0.0546921245085889
1883,2,"1883","Streptomyces","","bacteria",FALSE,51722.9,215505,228,NA,NA,99.6967,64.2763,"10^-22.7589",NA,NA,NA,NA,NA,NA,NA,"","[319947]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,51723.9
1654,2,"1654","Actinomyces","","bacteria",FALSE,318.491,1327,2,NA,NA,92.731,344,"10^-139.385",NA,NA,NA,NA,NA,NA,NA,"","[55565]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",322.787,456.489753157724,-0.00720453294800608
1378,2,"1378","Gemella","","bacteria",FALSE,5643.79,23515,20,NA,NA,92.0264,832.95,"10^-197.464",NA,NA,NA,NA,NA,NA,NA,"","[84135, 29391, 1379]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",1950.96,267.486379715554,13.7579790971647
1350,2,"1350","Enterococcus","","bacteria",FALSE,297.61,1240,1,NA,NA,98.758,644,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[1351]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",111.1875,157.242870466359,1.18439775168161
1301,2,"1301","Streptococcus","","bacteria",FALSE,97245.3,405175,392,NA,NA,92.8128,800.566,"10^-234.691",NA,NA,NA,NA,NA,NA,NA,"","[3038077, 2972784, 2819619, 2759692, 2710759, 2610896, 2598453, 2576376, 2382163, 1902136, 1839799, 1759399, 1433513, 1419814, 1234680, 1156431, 712633, 712624, 712623, 684066, 257758, 113107, 78535, 68892, 45634, 28037, 1335, 1328, 1318, 1313, 1311, 1308, 1307, 1304, 1303, 1302]",8,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",37241.65,18293.5164843541,3.27992543838573
1243,2,"1243","Leuconostoc","","bacteria",FALSE,174.966,729,1,NA,NA,96.067,534,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[255248]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",612.65,866.417938987877,-0.503429754415193
1016,2,"1016","Capnocytophaga","","bacteria",FALSE,11989.1,49953,44,NA,NA,92.1916,879.455,"10^-238.865",NA,NA,NA,NA,NA,NA,NA,"","[2545799, 327575, 1019, 1017]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",1127.7995,1002.07279856655,10.8290250872348
970,2,"970","Selenomonas","","bacteria",FALSE,231.368,964,1,NA,NA,84.796,809,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[1884263]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",162.7905,230.220532925497,0.300914019700919
848,2,"848","Fusobacterium","","bacteria",FALSE,6621.82,27590,25,NA,NA,95.2076,875.2,"10^-223.63",NA,NA,NA,NA,NA,NA,NA,"","[2663009, 1583098, 285729, 76859, 860, 851]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",2164.705,104.286779123722,42.3425907516962
838,2,"838","Prevotella","","bacteria",FALSE,124248,517681,428,NA,NA,94.5416,988.607,"10^-251.588",NA,NA,NA,NA,NA,NA,NA,"","[1177574, 652716, 589437, 589436, 470565, 282402, 52227, 28137, 28133, 28132, 28131, 28129, 28128]",2,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",36703.4,1907.56528940252,45.869848145151
836,2,"836","Porphyromonas","","bacteria",FALSE,3750.85,15628,15,NA,NA,94.7739,753.8,"10^-255.85",NA,NA,NA,NA,NA,NA,NA,"","[28124, 837]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",1468.069,1121.63106966061,2.03431123698583
816,2,"816","Bacteroides","","bacteria",FALSE,1205.08,5021,4,NA,NA,93.579,548.5,"10^-202.654",NA,NA,NA,NA,NA,NA,NA,"","[246787, 820]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",159.5185,64.3785964665276,16.0077082801222
724,2,"724","Haemophilus","","bacteria",FALSE,7332.97,30553,26,NA,NA,94.4013,937.769,"10^-237.59",NA,NA,NA,NA,NA,NA,NA,"","[2582921, 735, 729, 727, 726]",2,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",4047.37,483.73869654322,6.7801477856781
590,2,"590","Salmonella","","bacteria",FALSE,251.768,1049,1,NA,NA,100,86,"10^-16.9522",NA,NA,NA,NA,NA,NA,NA,"","[28901]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,252.768
570,2,"570","Klebsiella","","bacteria",FALSE,174.246,726,1,NA,NA,99.797,493,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[573]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,175.246
561,2,"561","Escherichia","","bacteria",FALSE,1339.25,5580,5,NA,NA,96.914,820.8,"10^-294.061",NA,NA,NA,NA,NA,NA,NA,"","[562]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",351.04515,360.573545112455,2.735833036934
538,2,"538","Eikenella","","bacteria",FALSE,159.605,665,1,NA,NA,92.3506,536,"10^-73.8491",NA,NA,NA,NA,NA,NA,NA,"","[539]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,160.605
482,2,"482","Neisseria","","bacteria",FALSE,10014.3,41725,42,NA,NA,95.7261,798.095,"10^-266.769",NA,NA,NA,NA,NA,NA,NA,"","[1871109, 641148, 28449, 490, 488, 487, 484]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",9641.71,6892.62690668804,0.0541935333978622
469,2,"469","Acinetobacter","","bacteria",FALSE,577.94,2408,2,NA,NA,98.311,976.5,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[40214]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",17298.6,24463.9147300672,-0.683413786006442
194,2,"194","Campylobacter","","bacteria",FALSE,411.614,1715,2,NA,NA,95.9828,663.5,"10^-77.9107",NA,NA,NA,NA,NA,NA,NA,"","[199]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",172.019,81.0865359066062,2.9309922430365
157,2,"157","Treponema","","bacteria",FALSE,262.809,1095,1,NA,NA,92.568,148,"10^-73.3688",NA,NA,NA,NA,NA,NA,NA,"","[2563662]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,263.809
-200,2,"-200","all taxa with neither family nor genus classification","","",FALSE,13290.4,55375,50,NA,NA,92.5657,780.48,"10^-213.258",NA,NA,NA,NA,NA,NA,NA,"","[2960088, 2832643, 2827834, 2827830, 2827558, 2558661, 2548105, 2100421, 77133, 38018]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",21176.92,19471.9230247862,-0.404947936679196
-200010841,2,"-200010841","non-genus-specific reads in family Microviridae","","viruses",FALSE,199.207,830,1,NA,NA,84.7949,684,"10^-138.471",NA,NA,NA,NA,NA,NA,NA,"","[2202644]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",104.2345,147.409843567178,0.64667206496015
-200010860,2,"-200010860","non-genus-specific reads in family Inoviridae","","viruses",FALSE,186.726,778,1,NA,NA,88.278,418,"10^-206.038",NA,NA,NA,NA,NA,NA,NA,"","[2219103]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",184.3219,97.7420519422423,0.0344746734855295
-200186803,2,"-200186803","non-genus-specific reads in family Lachnospiraceae","","bacteria",FALSE,1366.61,5694,7,NA,NA,95.8359,609.571,"10^-246.798",NA,NA,NA,NA,NA,NA,NA,"","[712982]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",924.504,399.521767477067,1.10632189304261
-200543314,2,"-200543314","non-genus-specific reads in family Eubacteriales Family XIII. Incertae Sedis","","bacteria",FALSE,109.924,458,1,NA,NA,95.349,301,"10^-173.93",NA,NA,NA,NA,NA,NA,NA,"","[143393]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",180.5275,255.304438881309,-0.271565722013236
2974251,2,"2974251","Segatella","","bacteria",FALSE,884.172,3639,5,NA,NA,91.0016,537.8,"10^-223.124",NA,NA,NA,NA,NA,NA,NA,"","[28135]",0,"NTCs_2","NTCs_2","eSISPA",442.086,625.204016935272,0.707574509292552
2905967,2,"2905967","Candidatus Minimicrobia","","bacteria",FALSE,206.04,848,1,NA,NA,86.33,534,"10^-81.3588",NA,NA,NA,NA,NA,NA,NA,"","[2841263]",0,"NTCs_2","NTCs_2","eSISPA",103.02,145.692281195676,0.709103431701667
2742598,2,"2742598","Limosilactobacillus","","bacteria",FALSE,945.401,3891,5,NA,NA,97.9197,619.4,"10^-218.773",NA,NA,NA,NA,NA,NA,NA,"","[1633]",0,"NTCs_2","NTCs_2","eSISPA",472.7005,668.499458040543,0.70754426207663
2529408,2,"2529408","Schaalia","","bacteria",FALSE,972.128,4001,7,NA,NA,94.0613,371.143,"10^-129.726",NA,NA,NA,NA,NA,NA,NA,"","[1660]",0,"NTCs_2","NTCs_2","eSISPA",486.064,687.398300981316,0.707532251758447
1912216,2,"1912216","Cutibacterium","","bacteria",FALSE,130.233,536,1,NA,NA,97.65,383,"10^-236.954",NA,NA,NA,NA,NA,NA,NA,"","[1747]",0,"NTCs_2","NTCs_2","eSISPA",65.1165,92.0886374342677,0.710253171840512
1866885,2,"1866885","Mycolicibacterium","","bacteria",FALSE,305.172,1256,2,NA,NA,90.9325,124.5,"10^-48.4764",NA,NA,NA,NA,NA,NA,NA,"","[388459, 59813]",0,"NTCs_2","NTCs_2","eSISPA",785.171,554.255103721502,-0.862664740566257
1164882,2,"1164882","Lachnoanaerobaculum","","bacteria",FALSE,2013.26,8286,9,NA,NA,89.5717,732.889,"10^-185.431",NA,NA,NA,NA,NA,NA,NA,"","[2490855, 617123]",0,"NTCs_2","NTCs_2","eSISPA",1461.0745,637.608894135216,0.866235195094027
1093071,2,"1093071","Phorcus","","eukaryota",FALSE,409.406,1685,1,NA,NA,81.513,119,"10^-38.468",NA,NA,NA,NA,NA,NA,NA,"","[1620919]",0,"NTCs_2","NTCs_2","eSISPA",204.703,289.49375885846,0.708115041122886
416916,2,"416916","Aggregatibacter","","bacteria",FALSE,373.204,1536,2,NA,NA,94.9742,600.5,"10^-65.3376",NA,NA,NA,NA,NA,NA,NA,"","[2866570, 2820817]",0,"NTCs_2","NTCs_2","eSISPA",186.602,263.895079165944,0.708212476391365
216851,2,"216851","Faecalibacterium","","bacteria",FALSE,194.62,801,1,NA,NA,90.0154,651,"10^-152.178",NA,NA,NA,NA,NA,NA,NA,"","[2929490]",0,"NTCs_2","NTCs_2","eSISPA",97.31,137.617121754526,0.709219746851295
212742,2,"212742","Morococcus","","bacteria",FALSE,331.17,1363,2,NA,NA,97.34,485.5,"10^-272.305",NA,NA,NA,NA,NA,NA,NA,"","[1056807]",0,"NTCs_2","NTCs_2","eSISPA",165.585,234.172552725549,0.708352220824035
195950,2,"195950","Tannerella","","bacteria",FALSE,5660.26,23296,25,NA,NA,93.2058,622.8,"10^-183.525",NA,NA,NA,NA,NA,NA,NA,"","[712710, 28112]",1,"NTCs_2","NTCs_2","eSISPA",2830.13,4002.40822927897,0.707179942153913
162289,2,"162289","Peptoniphilus","","bacteria",FALSE,422.284,1738,1,NA,NA,80.833,600,"10^-240.19",NA,NA,NA,NA,NA,NA,NA,"","[3016343]",0,"NTCs_2","NTCs_2","eSISPA",211.142,298.59987998658,0.708084395793157
117563,2,"117563","Granulicatella","","bacteria",FALSE,1283.13,5281,8,NA,NA,88.3448,459.75,"10^-165.392",NA,NA,NA,NA,NA,NA,NA,"","[137732, 46124]",0,"NTCs_2","NTCs_2","eSISPA",1282.785,0.398371685740873,0.961832975964063
86331,2,"86331","Mogibacterium","","bacteria",FALSE,97.1885,400,1,NA,NA,93.304,224,"10^-119.849",NA,NA,NA,NA,NA,NA,NA,"","[114527]",0,"NTCs_2","NTCs_2","eSISPA",117.21525,23.1248990069867,-0.78867687671935
59732,2,"59732","Chryseobacterium","","bacteria",FALSE,273.343,1125,1,NA,NA,82.111,777,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[2864040]",0,"NTCs_2","NTCs_2","eSISPA",136.6715,193.282688889874,0.708614343288385
48736,2,"48736","Ralstonia","","bacteria",FALSE,160.847,662,1,NA,NA,99.165,479,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[329]",1,"NTCs_2","NTCs_2","eSISPA",80.4235,113.736004433513,0.709659538886796
46255,2,"46255","Weissella","","bacteria",FALSE,995.696,4098,5,NA,NA,97.907,619,"10^-272.29",NA,NA,NA,NA,NA,NA,NA,"","[1583]",0,"NTCs_2","NTCs_2","eSISPA",497.848,704.063393600321,0.707522195206722
46123,2,"46123","Abiotrophia","","bacteria",FALSE,329.955,1358,2,NA,NA,90.65,498.5,"10^-113.567",NA,NA,NA,NA,NA,NA,NA,"","[46125]",1,"NTCs_2","NTCs_2","eSISPA",252.8365,89.0487734690003,0.867513204129234
44259,2,"44259","Filifactor","","bacteria",FALSE,280.146,1153,1,NA,NA,96.398,694,"10^-81.6424",NA,NA,NA,NA,NA,NA,NA,"","[143361]",0,"NTCs_2","NTCs_2","eSISPA",257.85,25.7452032037038,0.871034698168749
40323,2,"40323","Stenotrophomonas","","bacteria",FALSE,474.766,1954,1,NA,NA,98.443,1413,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[40324]",1,"NTCs_2","NTCs_2","eSISPA",628.6595,177.700907303067,-0.855583232941849
32257,2,"32257","Kingella","","bacteria",FALSE,188.789,777,1,NA,NA,86.733,505,"10^-240.951",NA,NA,NA,NA,NA,NA,NA,"","[1522312]",0,"NTCs_2","NTCs_2","eSISPA",94.3945,133.493982113427,0.709284523374049
32207,2,"32207","Rothia","","bacteria",FALSE,3037.63,12502,14,NA,NA,92.7397,711.857,"10^-230.878",NA,NA,NA,NA,NA,NA,NA,"","[43675]",0,"NTCs_2","NTCs_2","eSISPA",1741.19,1496.9999659764,0.866114839431474
32067,2,"32067","Leptotrichia","","bacteria",FALSE,8938.67,36789,50,NA,NA,94.2466,549.98,"10^-143.433",NA,NA,NA,NA,NA,NA,NA,"","[712362, 712357, 554406, 157688, 157687, 109328, 40542]",0,"NTCs_2","NTCs_2","eSISPA",5622.565,3829.10822882213,0.866060383108314
29465,2,"29465","Veillonella","","bacteria",FALSE,31715.5,130532,142,NA,NA,91.9162,696.592,"10^-216.644",NA,NA,NA,NA,NA,NA,NA,"","[2682456, 2682455, 423477, 39778, 39777, 29466]",0,"NTCs_2","NTCs_2","eSISPA",22483.85,10659.7912251288,0.866037970825045
28100,2,"28100","Phyllobacterium","","bacteria",FALSE,305.415,1257,1,NA,NA,88.17,1082,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[2718938]",0,"NTCs_2","NTCs_2","eSISPA",152.7075,215.961017576089,0.708456762036037
13687,2,"13687","Sphingomonas","","bacteria",FALSE,289.379,1191,1,NA,NA,96.186,1075,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[2219696]",0,"NTCs_2","NTCs_2","eSISPA",144.6895,204.621853232982,0.708531207696708
5820,2,"5820","Plasmodium","","eukaryota",FALSE,88.9274,366,2,NA,NA,99.0195,50.5,"10^-21.3426",NA,NA,NA,NA,NA,NA,NA,"","[5821]",0,"NTCs_2","NTCs_2","eSISPA",150.6522,71.2736597913516,-0.840206517496246
5761,2,"5761","Naegleria","","eukaryota",FALSE,922.318,3796,9,NA,NA,93.8156,260.222,"10^-139.344",NA,NA,NA,NA,NA,NA,NA,"","[5763]",1,"NTCs_2","NTCs_2","eSISPA",461.159,652.177312210414,0.707555194218259
5543,2,"5543","Trichoderma","","eukaryota",FALSE,148.941,613,1,NA,NA,98.276,58,"10^-25.7426",NA,NA,NA,NA,NA,NA,NA,"","[29875]",0,"NTCs_2","NTCs_2","eSISPA",545.578,457.996957441131,-0.861959962012913
4564,2,"4564","Triticum","","eukaryota",FALSE,97.9174,403,1,NA,NA,94.805,154,"10^-81.5857",NA,NA,NA,NA,NA,NA,NA,"","[4571]",0,"NTCs_2","NTCs_2","eSISPA",48.9587,69.2380575361557,0.711276788574105
2717,2,"2717","Cardiobacterium","","bacteria",FALSE,327.525,1348,1,NA,NA,91.3959,1232,"10^-177.22",NA,NA,NA,NA,NA,NA,NA,"","[2718]",1,"NTCs_2","NTCs_2","eSISPA",163.7625,231.595148508124,0.708366021633703
1654,2,"1654","Actinomyces","","bacteria",FALSE,645.574,2657,5,NA,NA,95.6571,364,"10^-95.7987",NA,NA,NA,NA,NA,NA,NA,"","[249061, 55565]",0,"NTCs_2","NTCs_2","eSISPA",322.787,456.489753157724,0.707746999282782
1378,2,"1378","Gemella","","bacteria",FALSE,2182.61,8983,12,NA,NA,91.3894,575.75,"10^-162.479",NA,NA,NA,NA,NA,NA,NA,"","[84135, 29391, 1379]",0,"NTCs_2","NTCs_2","eSISPA",1950.96,267.486379715554,0.866524403384931
1357,2,"1357","Lactococcus","lactic streptococci","bacteria",FALSE,84.311,347,1,NA,NA,83.871,124,"10^-44.6258",NA,NA,NA,NA,NA,NA,NA,"","[2749961]",0,"NTCs_2","NTCs_2","eSISPA",42.1555,59.616879828619,0.711938656724212
1301,2,"1301","Streptococcus","","bacteria",FALSE,53084.3,218480,257,NA,NA,92.279,605.7,"10^-212.136",NA,NA,NA,NA,NA,NA,NA,"","[2972784, 2759692, 2710759, 2610896, 2598453, 1902136, 1839799, 1759399, 1433513, 1234680, 1156431, 712633, 712623, 684066, 113107, 76860, 68892, 45634, 28037, 1349, 1343, 1338, 1336, 1335, 1328, 1318, 1314, 1313, 1308, 1305, 1304, 1303, 1302]",9,"NTCs_2","NTCs_2","eSISPA",37241.65,18293.5164843541,0.866032726994994
1243,2,"1243","Leuconostoc","","bacteria",FALSE,1225.3,5043,4,NA,NA,97.121,1015.5,"10^-221.325",NA,NA,NA,NA,NA,NA,NA,"","[1246]",0,"NTCs_2","NTCs_2","eSISPA",612.65,866.417938987877,0.707444442198211
1016,2,"1016","Capnocytophaga","","bacteria",FALSE,259.979,1070,2,NA,NA,90.51,378,"10^-198.534",NA,NA,NA,NA,NA,NA,NA,"","[1705617, 1017]",0,"NTCs_2","NTCs_2","eSISPA",1127.7995,1002.07279856655,-0.864165094735633
970,2,"970","Selenomonas","","bacteria",FALSE,325.581,1340,1,NA,NA,88.043,184,"10^-82.8808",NA,NA,NA,NA,NA,NA,NA,"","[712528]",0,"NTCs_2","NTCs_2","eSISPA",162.7905,230.220532925497,0.708373507869977
848,2,"848","Fusobacterium","","bacteria",FALSE,2255.02,9281,14,NA,NA,94.9774,487.214,"10^-202.218",NA,NA,NA,NA,NA,NA,NA,"","[2663009, 671211, 860]",0,"NTCs_2","NTCs_2","eSISPA",2164.705,104.286779123722,0.867297876903387
838,2,"838","Prevotella","","bacteria",FALSE,38355.4,157860,185,NA,NA,94.0536,625.935,"10^-197.738",NA,NA,NA,NA,NA,NA,NA,"","[1177574, 712471, 652716, 589437, 470565, 282402, 52227, 28137, 28133, 28132, 28131, 28129]",2,"NTCs_2","NTCs_2","eSISPA",36703.4,1907.56528940252,0.866095600280707
836,2,"836","Porphyromonas","","bacteria",FALSE,2439.43,10040,10,NA,NA,88.2859,742.8,"10^-279.929",NA,NA,NA,NA,NA,NA,NA,"","[712435, 28124]",0,"NTCs_2","NTCs_2","eSISPA",1468.069,1121.63106966061,0.866144743610171
816,2,"816","Bacteroides","","bacteria",FALSE,215.272,886,1,NA,NA,91.892,74,"10^-29.7539",NA,NA,NA,NA,NA,NA,NA,"","[2650158]",0,"NTCs_2","NTCs_2","eSISPA",159.5185,64.3785964665276,0.868074615658911
724,2,"724","Haemophilus","","bacteria",FALSE,4466.3,18382,20,NA,NA,95.3643,654.8,"10^-217.599",NA,NA,NA,NA,NA,NA,NA,"","[729]",1,"NTCs_2","NTCs_2","eSISPA",4047.37,483.73869654322,0.866301788973348
561,2,"561","Escherichia","","bacteria",FALSE,663.311,2730,3,NA,NA,97.8907,758.333,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[562]",1,"NTCs_2","NTCs_2","eSISPA",351.04515,360.573545112455,0.866395935860213
482,2,"482","Neisseria","","bacteria",FALSE,15610.9,64250,75,NA,NA,95.1596,674.533,"10^-215.169",NA,NA,NA,NA,NA,NA,NA,"","[1871109, 641148, 33053, 28449, 496, 490, 488, 487, 484]",1,"NTCs_2","NTCs_2","eSISPA",9641.71,6892.62690668804,0.866044838343058
374,2,"374","Bradyrhizobium","","bacteria",FALSE,107.15,441,1,NA,NA,98.491,265,"10^-163.006",NA,NA,NA,NA,NA,NA,NA,"","[2715960]",0,"NTCs_2","NTCs_2","eSISPA",53.575,75.7664916041386,0.71092215965042
286,2,"286","Pseudomonas","","bacteria",FALSE,19335.2,79578,83,NA,NA,95.7396,752.663,"10^-230.987",NA,NA,NA,NA,NA,NA,NA,"","[3003351, 2864101, 2762577, 1173283, 76761, 76760, 75588, 47878, 46677, 301, 294, 287]",2,"NTCs_2","NTCs_2","eSISPA",30958.85,13421.834912932,-0.86588638505882
