tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,sample_ID,short_name_id,protocol,mean_nt_bpm,sd_nt_bpm,z_score,sample_type
117563,2,117563,Granulicatella,,bacteria,FALSE,5861.11,1928567,1657,11,365019,89.3482,941.231,10^-221.174,225.042,74049,33,3,74049,98.2879,373.545,10^-254.749,"[2962907, 137732, 46124]",0,RDC_INC_PAN_s_026_775857_taxon_report,PAN026,eSISPA,1282.785,0.398371686,3274.755236,oral swab
1279,2,1279,Staphylococcus,,bacteria,FALSE,2747.39,677043,1015,NA,NA,96.3792,471.58,10^-168.073,NA,NA,NA,NA,NA,NA,NA,,"[283734, 29388, 29385, 1290, 1283, 1282, 1280]",6,RDC_INC_PAN_s_013_T_775846_taxon_report,PAN013,PtCl4 eSISPA,0,0,2748.39,oral swab
1716,2,1716,Corynebacterium,,bacteria,FALSE,2676.17,727999,1152,1,9412,94.5532,437.457,10^-198.396,NA,NA,NA,NA,NA,NA,NA,,"[43768, 42817, 38305]",0,RDC_INC_PAN_s_026_T_775858_taxon_report,PAN026,PtCl4 eSISPA,0,0,2677.17,oral swab
2732686,2,2732686,Kayfunavirus,,viruses,TRUE,2362,1181477,1519,NA,NA,97.1621,71.5504,10^-25.5919,NA,NA,NA,NA,NA,NA,NA,,"[2983354, 2983353, 2983352]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,2363,oral swab
117563,2,117563,Granulicatella,,bacteria,FALSE,4407.03,18362,15,NA,NA,90.4154,836.867,10^-226.317,NA,NA,NA,NA,NA,NA,NA,,"[137732, 46124]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,1282.785,0.398371686,2234.917248,oral swab
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,1957.75,532567,738,NA,NA,90.5528,524.23,10^-193.84,NA,NA,NA,NA,NA,NA,NA,,[1382],0,RDC_INC_PAN_s_026_T_775858_taxon_report,PAN026,PtCl4 eSISPA,0,0,1958.75,oral swab
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,1507.29,495967,511,2,41321,91.8524,726.726,10^-195.962,NA,NA,NA,NA,NA,NA,NA,,[1382],0,RDC_INC_PAN_s_026_775857_taxon_report,PAN026,eSISPA,0,0,1508.29,oral swab
570,2,570,Klebsiella,,bacteria,FALSE,1336.78,676920,880,NA,NA,97.9087,528.347,10^-244.183,NA,NA,NA,NA,NA,NA,NA,,"[2986524, 2489010, 2026240, 1972757, 1463165, 1134687, 284011, 244366, 573, 571, 548]",3,RDC_INC_PAN_s_020_T_775856_taxon_report,PAN020,PtCl4 eSISPA,0,0,1337.78,oral swab
538,2,538,Eikenella,,bacteria,FALSE,1231.42,4094,6,NA,NA,94.8603,513,10^-258.953,NA,NA,NA,NA,NA,NA,NA,,[539],1,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,1232.42,oral swab
-202560065,2,-202560065,non-genus-specific reads in family Herelleviridae,,viruses,FALSE,1053.7,141383,149,NA,NA,87.7721,680.235,10^-236.169,NA,NA,NA,NA,NA,NA,NA,,[2831613],0,RDC_INC_PAN_s_018_T_775852_taxon_report,PAN018,PtCl4 eSISPA,0,0,1054.7,oral swab
117563,2,117563,Granulicatella,,bacteria,FALSE,2621.11,20499,17,NA,NA,89.2234,897.647,10^-231.221,NA,NA,NA,NA,NA,NA,NA,,[46124],0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,1282.785,0.398371686,957.7746844,oral swab
1763,2,1763,Mycobacterium,,bacteria,FALSE,900.086,388933,450,NA,NA,98.8169,64.4733,10^-24.144,NA,NA,NA,NA,NA,NA,NA,,[43348],0,RDC_INC_PAN_s_015_775847_taxon_report,PAN015,eSISPA,0,0,901.086,oral swab
538,2,538,Eikenella,,bacteria,FALSE,785.366,392842,611,NA,NA,94.75,468.723,10^-149.389,NA,NA,NA,NA,NA,NA,NA,,"[2528037, 539]",1,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,786.366,oral swab
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,780.842,2596,3,NA,NA,92.4153,696.667,10^-189.463,NA,NA,NA,NA,NA,NA,NA,,[1382],0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,781.842,oral swab
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,759.866,3166,3,NA,NA,93.4484,900,10^-159.722,NA,NA,NA,NA,NA,NA,NA,,[1382],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,760.866,oral swab
2093823,2,2093823,Nanosynbacter,,bacteria,FALSE,751.72,5879,5,NA,NA,96.5404,1005,10^-295.972,NA,NA,NA,NA,NA,NA,NA,,"[2899133, 2093824]",0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,0,0,752.72,oral swab
117563,2,117563,Granulicatella,,bacteria,FALSE,2300.5,625805,866,3,83437,91.0786,523.069,10^-193.764,NA,NA,NA,NA,NA,NA,NA,,"[137732, 46124]",0,RDC_INC_PAN_s_026_T_775858_taxon_report,PAN026,PtCl4 eSISPA,1282.785,0.398371686,728.5008774,oral swab
1920762,2,1920762,Litunavirus,,viruses,TRUE,73179.7,6779924,9681,3,259492,98.8374,79.9835,10^-25.5515,NA,NA,NA,NA,NA,NA,NA,,[3058783],0,RDC_INC_PAN_s_018_775851_taxon_report,PAN018,eSISPA,83.012,117.3966962,617.3963491,oral swab
34084,2,34084,Riemerella,,bacteria,FALSE,608.421,2535,2,NA,NA,81.666,512.5,10^-209.037,NA,NA,NA,NA,NA,NA,NA,,[34085],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,609.421,oral swab
2974257,2,2974257,Hoylesella,,bacteria,FALSE,584.037,158876,192,NA,NA,87.5895,614.266,10^-193.629,1480.65,402782,340,7,402782,96.5868,304.988,10^-196.121,"[425941, 228603, 76123, 28127]",0,RDC_INC_PAN_s_026_T_775858_taxon_report,PAN026,PtCl4 eSISPA,0,0,585.037,oral swab
2974257,2,2974257,Hoylesella,,bacteria,FALSE,566.397,186370,171,NA,NA,92.9835,850.006,10^-218.764,6474.94,2130545,1189,46,2130545,95.6796,399.616,10^-231.704,"[633701, 425941, 228603, 76123, 28127]",0,RDC_INC_PAN_s_026_775857_taxon_report,PAN026,eSISPA,0,0,567.397,oral swab
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,566.242,283236,368,NA,NA,91.0679,590.723,10^-173.723,NA,NA,NA,NA,NA,NA,NA,,"[3022127, 1382]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,567.242,oral swab
1257,2,1257,Peptostreptococcus,,bacteria,FALSE,470.669,154871,133,NA,NA,84.7696,927.624,10^-271.537,1149.98,378396,227,6,378396,90.1357,450.044,10^-258.494,"[3003601, 341694, 1262, 1261]",1,RDC_INC_PAN_s_026_775857_taxon_report,PAN026,eSISPA,0,0,471.669,oral swab
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,459.036,3590,4,NA,NA,90.8372,698.75,10^-282.057,NA,NA,NA,NA,NA,NA,NA,,"[3022127, 1382]",0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,0,0,460.036,oral swab
1716,2,1716,Corynebacterium,,bacteria,FALSE,457.496,1521,2,NA,NA,91.575,580,10^-165.49,NA,NA,NA,NA,NA,NA,NA,,[42817],0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,458.496,oral swab
2093823,2,2093823,Nanosynbacter,,bacteria,FALSE,446.969,1486,2,NA,NA,89.962,552,10^-262.298,NA,NA,NA,NA,NA,NA,NA,,"[2933970, 2899133]",0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,447.969,oral swab
-202560065,2,-202560065,non-genus-specific reads in family Herelleviridae,,viruses,FALSE,428.169,116475,171,NA,NA,92.0542,501.287,10^-203.755,NA,NA,NA,NA,NA,NA,NA,,"[2831613, 2828083]",0,RDC_INC_PAN_s_026_T_775858_taxon_report,PAN026,PtCl4 eSISPA,0,0,429.169,oral swab
117563,2,117563,Granulicatella,,bacteria,FALSE,1878.57,174045,229,NA,NA,91.009,535.62,10^-201.979,NA,NA,NA,NA,NA,NA,NA,,"[137732, 46124]",0,RDC_INC_PAN_s_018_775851_taxon_report,PAN018,eSISPA,1282.785,0.398371686,426.7713699,oral swab
2974257,2,2974257,Hoylesella,,bacteria,FALSE,420.199,1397,1,NA,NA,98.305,59,10^-26.4214,NA,NA,NA,NA,NA,NA,NA,,[28127],0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,421.199,oral swab
10375,2,10375,Lymphocryptovirus,,viruses,FALSE,417.536,56024,116,NA,NA,97.3638,301.819,10^-168.584,NA,NA,NA,NA,NA,NA,NA,,[3050299],1,RDC_INC_PAN_s_018_T_775852_taxon_report,PAN018,PtCl4 eSISPA,0,0,418.536,oral swab
71,2,71,Simonsiella,,bacteria,FALSE,393.715,143422,207,NA,NA,97.2802,510.633,10^-216.178,NA,NA,NA,NA,NA,NA,NA,,[72],0,RDC_INC_PAN_s_015_T_775848_taxon_report,PAN015,PtCl4 eSISPA,0,0,394.715,oral swab
2093823,2,2093823,Nanosynbacter,,bacteria,FALSE,393.502,173817,255,NA,NA,90.9057,500.184,10^-129.475,NA,NA,NA,NA,NA,NA,NA,,"[2899133, 2572088]",0,RDC_INC_PAN_s_019_T_775854_taxon_report,PAN019,PtCl4 eSISPA,0,0,394.502,oral swab
1331051,2,1331051,Saccharimonas,,bacteria,FALSE,388.333,1618,1,NA,NA,81.075,428,10^-168.974,NA,NA,NA,NA,NA,NA,NA,,[1917697],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,389.333,oral swab
47670,2,47670,Lautropia,,bacteria,FALSE,378.089,1257,1,NA,NA,97.032,1078,10^-307.653,NA,NA,NA,NA,NA,NA,NA,,[47671],0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,379.089,oral swab
118747,2,118747,Bulleidia,,bacteria,FALSE,369.065,1227,1,NA,NA,85.241,332,10^-147.126,NA,NA,NA,NA,NA,NA,NA,,[2806552],0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,370.065,oral swab
5052,2,5052,Aspergillus,,eukaryota,FALSE,366.741,183445,233,NA,NA,84.2884,393.957,10^-165.453,NA,NA,NA,NA,NA,NA,NA,,"[396024, 182096, 41413, 41068]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,367.741,oral swab
543311,2,543311,Parvimonas,,bacteria,FALSE,360.366,137013,189,NA,NA,91.918,554.317,10^-187.615,NA,NA,NA,NA,NA,NA,NA,,[33033],1,RDC_INC_PAN_s_013_775845_taxon_report,PAN013,eSISPA,0,0,361.366,oral swab
745,2,745,Pasteurella,,bacteria,FALSE,355.549,153635,107,NA,NA,98.15,1271.52,10^-293.607,NA,NA,NA,NA,NA,NA,NA,,[747],1,RDC_INC_PAN_s_015_775847_taxon_report,PAN015,eSISPA,0,0,356.549,oral swab
39948,2,39948,Dialister,,bacteria,FALSE,329.253,2575,3,NA,NA,93.732,547.333,10^-246.151,NA,NA,NA,NA,NA,NA,NA,,"[2582419, 39950]",0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,0,0,330.253,oral swab
5052,2,5052,Aspergillus,,eukaryota,FALSE,327.557,1089,1,NA,NA,100,44,10^-17.6284,NA,NA,NA,NA,NA,NA,NA,,[5059],1,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,328.557,oral swab
946234,2,946234,Flavonifractor,,bacteria,FALSE,312.885,28988,49,NA,NA,87.8164,426.918,10^-195.887,1373.29,127232,58,1,127232,51.4,212,10^-59.8729,"[2838588, 292800]",0,RDC_INC_PAN_s_018_775851_taxon_report,PAN018,eSISPA,0,0,313.885,oral swab
375288,2,375288,Parabacteroides,,bacteria,FALSE,311.76,155943,197,NA,NA,97.9713,542.959,10^-224.682,NA,NA,NA,NA,NA,NA,NA,,"[1217282, 823]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,312.76,oral swab
906,2,906,Megasphaera,,bacteria,FALSE,311.184,41754,46,NA,NA,85.2147,577.87,10^-174.773,NA,NA,NA,NA,NA,NA,NA,,"[2144175, 1232428, 907]",0,RDC_INC_PAN_s_018_T_775852_taxon_report,PAN018,PtCl4 eSISPA,0,0,312.184,oral swab
187218,2,187218,Tequintavirus,,viruses,TRUE,299.283,995,1,NA,NA,100,86,10^-16.9522,NA,NA,NA,NA,NA,NA,NA,,[3017287],0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,300.283,oral swab
-202560065,2,-202560065,non-genus-specific reads in family Herelleviridae,,viruses,FALSE,298.324,27639,40,NA,NA,88.383,503.65,10^-203.495,NA,NA,NA,NA,NA,NA,NA,,[2831613],0,RDC_INC_PAN_s_018_775851_taxon_report,PAN018,eSISPA,0,0,299.324,oral swab
168808,2,168808,Sneathia,,bacteria,FALSE,283.477,2217,2,NA,NA,82.439,597.5,10^-252.887,NA,NA,NA,NA,NA,NA,NA,,[187101],0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,0,0,284.477,oral swab
5475,2,5475,Candida,,eukaryota,FALSE,283.313,69817,109,NA,NA,96.8953,448.073,10^-162.296,NA,NA,NA,NA,NA,NA,NA,,"[5480, 5476]",2,RDC_INC_PAN_s_013_T_775846_taxon_report,PAN013,PtCl4 eSISPA,0,0,284.313,oral swab
111500,2,111500,Allomuricauda,,bacteria,FALSE,268.809,1120,1,NA,NA,83.146,89,10^-27.6152,NA,NA,NA,NA,NA,NA,NA,,[254955],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,269.809,oral swab
157,2,157,Treponema,,bacteria,FALSE,262.809,1095,1,NA,NA,92.568,148,10^-73.3688,NA,NA,NA,NA,NA,NA,NA,,[2563662],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,263.809,oral swab
2767842,2,2767842,Lactiplantibacillus,,bacteria,FALSE,261.931,64548,90,NA,NA,96.4875,543.444,10^-163.91,NA,NA,NA,NA,NA,NA,NA,,[1590],0,RDC_INC_PAN_s_013_T_775846_taxon_report,PAN013,PtCl4 eSISPA,0,0,262.931,oral swab
375288,2,375288,Parabacteroides,,bacteria,FALSE,254.218,83649,72,NA,NA,97.7726,780.556,10^-279.599,NA,NA,NA,NA,NA,NA,NA,,"[1217282, 46503, 823]",0,RDC_INC_PAN_s_026_775857_taxon_report,PAN026,eSISPA,0,0,255.218,oral swab
501783,2,501783,Cloacibacterium,,bacteria,FALSE,252.15,1972,1,NA,NA,80.89,1303,10^-307.653,NA,NA,NA,NA,NA,NA,NA,,[2976818],0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,0,0,253.15,oral swab
590,2,590,Salmonella,,bacteria,FALSE,251.768,1049,1,NA,NA,100,86,10^-16.9522,NA,NA,NA,NA,NA,NA,NA,,[28901],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,252.768,oral swab
43668,2,43668,Brachybacterium,,bacteria,FALSE,248.507,109770,152,NA,NA,95.1543,571.52,10^-300.249,NA,NA,NA,NA,NA,NA,NA,,"[1903186, 1331682, 43669]",0,RDC_INC_PAN_s_019_T_775854_taxon_report,PAN019,PtCl4 eSISPA,0,0,249.507,oral swab
2974257,2,2974257,Hoylesella,,bacteria,FALSE,233.141,116618,142,NA,NA,97.9574,650.599,10^-295.637,NA,NA,NA,NA,NA,NA,NA,,"[76123, 28127]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,234.141,oral swab
838,2,838,Prevotella,,bacteria,FALSE,464703,152907910,135343,493,45147238,95.0072,1133.72,10^-243.175,131085,43132971,31696,457,43132971,97.4118,330.532,10^-209.479,"[2913621, 2913620, 2913616, 2913614, 2801997, 2608404, 2081962, 1433844, 1227276, 1177574, 1161412, 712471, 712461, 652722, 652721, 652716, 589437, 589436, 563031, 470565, 282402, 159272, 60133, 59823, 52227, 28137, 28133, 28132, 28131, 28130, 28129, 28128, 28125]",3,RDC_INC_PAN_s_026_775857_taxon_report,PAN026,eSISPA,36703.4,1907.565289,224.2525327,oral swab
1678,2,1678,Bifidobacterium,,bacteria,FALSE,222.647,54867,67,NA,NA,97.1212,600.716,10^-171.643,NA,NA,NA,NA,NA,NA,NA,,"[216816, 1685]",0,RDC_INC_PAN_s_013_T_775846_taxon_report,PAN013,PtCl4 eSISPA,0,0,223.647,oral swab
4575,2,4575,Zea,,eukaryota,FALSE,219.419,109754,159,NA,NA,96.7566,466.006,10^-262.845,NA,NA,NA,NA,NA,NA,NA,,[4577],0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,220.419,oral swab
2093823,2,2093823,Nanosynbacter,,bacteria,FALSE,218.295,59383,49,1,26991,94.1759,1267.55,10^-236.789,99.2205,26991,13,1,26991,97.4,347,10^-227.947,"[2902632, 2899133, 2572088]",0,RDC_INC_PAN_s_026_T_775858_taxon_report,PAN026,PtCl4 eSISPA,0,0,219.295,oral swab
354349,2,354349,Pseudochrobactrum,,bacteria,FALSE,217.719,29213,29,NA,NA,93.3765,794.103,10^-276.272,NA,NA,NA,NA,NA,NA,NA,,"[2879116, 2834768]",0,RDC_INC_PAN_s_018_T_775852_taxon_report,PAN018,PtCl4 eSISPA,0,0,218.719,oral swab
375288,2,375288,Parabacteroides,,bacteria,FALSE,213.068,57961,48,NA,NA,92.9747,861.583,10^-296.831,NA,NA,NA,NA,NA,NA,NA,,"[2685834, 328812, 46503, 823]",0,RDC_INC_PAN_s_026_T_775858_taxon_report,PAN026,PtCl4 eSISPA,0,0,214.068,oral swab
157,2,157,Treponema,,bacteria,FALSE,209.541,90544,108,NA,NA,97.6412,675.935,10^-300.509,NA,NA,NA,NA,NA,NA,NA,,"[2563670, 69710, 58231]",1,RDC_INC_PAN_s_015_775847_taxon_report,PAN015,eSISPA,0,0,210.541,oral swab
2974257,2,2974257,Hoylesella,,bacteria,FALSE,209.178,28067,32,NA,NA,92.3889,542,10^-143.665,NA,NA,NA,NA,NA,NA,NA,,"[76123, 28127]",0,RDC_INC_PAN_s_018_T_775852_taxon_report,PAN018,PtCl4 eSISPA,0,0,210.178,oral swab
254717,2,254717,Chrysodeixis,,eukaryota,FALSE,196.414,653,1,NA,NA,81.871,513,10^-210.752,NA,NA,NA,NA,NA,NA,NA,,[689277],0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,197.414,oral swab
157,2,157,Treponema,,bacteria,FALSE,196.414,653,1,NA,NA,95.481,509,10^-304.077,NA,NA,NA,NA,NA,NA,NA,,[67506],0,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,197.414,oral swab
118747,2,118747,Bulleidia,,bacteria,FALSE,196.21,26327,29,NA,NA,90.1981,726.034,10^-200.433,NA,NA,NA,NA,NA,NA,NA,,[2806552],0,RDC_INC_PAN_s_018_T_775852_taxon_report,PAN018,PtCl4 eSISPA,0,0,197.21,oral swab
1716,2,1716,Corynebacterium,,bacteria,FALSE,190.597,62715,68,NA,NA,90.94,764.176,10^-136.97,NA,NA,NA,NA,NA,NA,NA,,[42817],0,RDC_INC_PAN_s_026_775857_taxon_report,PAN026,eSISPA,0,0,191.597,oral swab
375288,2,375288,Parabacteroides,,bacteria,FALSE,190.269,17628,24,NA,NA,98.8501,368.708,10^-185.286,NA,NA,NA,NA,NA,NA,NA,,"[1217282, 46503, 823]",0,RDC_INC_PAN_s_018_775851_taxon_report,PAN018,eSISPA,0,0,191.269,oral swab
5475,2,5475,Candida,,eukaryota,FALSE,189.476,72040,116,NA,NA,96.2088,451.19,10^-229.651,NA,NA,NA,NA,NA,NA,NA,,"[5480, 5476]",2,RDC_INC_PAN_s_013_775845_taxon_report,PAN013,eSISPA,0,0,190.476,oral swab
2759736,2,2759736,Lacticaseibacillus,,bacteria,FALSE,187.655,46244,59,NA,NA,96.3804,468.271,10^-208.336,NA,NA,NA,NA,NA,NA,NA,,[1597],0,RDC_INC_PAN_s_013_T_775846_taxon_report,PAN013,PtCl4 eSISPA,0,0,188.655,oral swab
3817,2,3817,Arachis,,eukaryota,FALSE,187.321,50957,105,NA,NA,97.651,324.114,10^-187.242,NA,NA,NA,NA,NA,NA,NA,,[3818],0,RDC_INC_PAN_s_026_T_775858_taxon_report,PAN026,PtCl4 eSISPA,0,0,188.321,oral swab
-200186828,2,-200186828,non-genus-specific reads in family Carnobacteriaceae,,bacteria,FALSE,185.555,92815,116,NA,NA,81.5902,453.405,10^-139.901,NA,NA,NA,NA,NA,NA,NA,,"[2821731, 2758033]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,186.555,oral swab
68,2,68,Lysobacter,,bacteria,FALSE,184.885,81667,84,NA,NA,82.7043,149.988,10^-54.2233,NA,NA,NA,NA,NA,NA,NA,,[2992573],0,RDC_INC_PAN_s_019_T_775854_taxon_report,PAN019,PtCl4 eSISPA,0,0,185.885,oral swab
239759,2,239759,Alistipes,,bacteria,FALSE,184.495,92285,118,NA,NA,81.2336,511.297,10^-202.653,NA,NA,NA,NA,NA,NA,NA,,"[2585118, 2364787, 1470347, 626932, 538949]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,185.495,oral swab
848,2,848,Fusobacterium,,bacteria,FALSE,21156.7,10582648,12199,6,1503570,96.225,682.242,10^-210.136,2163.65,1082265,889,5,1082265,89.9618,346.26,10^-184.497,"[2663009, 1583098, 671211, 285729, 159267, 155615, 76859, 76857, 860, 851]",1,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,2164.705,104.2867791,180.392972,oral swab
1578,2,1578,Lactobacillus,,bacteria,FALSE,175.432,43232,60,NA,NA,95.1561,490.983,10^-184.216,NA,NA,NA,NA,NA,NA,NA,,"[2695882, 2107999, 267818, 47770, 33959, 1596, 1587]",0,RDC_INC_PAN_s_013_T_775846_taxon_report,PAN013,PtCl4 eSISPA,0,0,176.432,oral swab
570,2,570,Klebsiella,,bacteria,FALSE,174.246,726,1,NA,NA,99.797,493,10^-307.653,NA,NA,NA,NA,NA,NA,NA,,[573],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,175.246,oral swab
221065,2,221065,Kordia,,bacteria,FALSE,170.444,1333,1,NA,NA,82.069,145,10^-50.7335,NA,NA,NA,NA,NA,NA,NA,,[1218801],0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,0,0,171.444,oral swab
558436,2,558436,Xylanibacter,,bacteria,FALSE,160.491,69349,78,NA,NA,80.4006,461.679,10^-179.031,NA,NA,NA,NA,NA,NA,NA,,[839],0,RDC_INC_PAN_s_015_775847_taxon_report,PAN015,eSISPA,0,0,161.491,oral swab
538,2,538,Eikenella,,bacteria,FALSE,159.605,665,1,NA,NA,92.3506,536,10^-73.8491,NA,NA,NA,NA,NA,NA,NA,,[539],1,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,160.605,oral swab
543311,2,543311,Parvimonas,,bacteria,FALSE,159.116,529,1,NA,NA,88.952,353,10^-175.233,NA,NA,NA,NA,NA,NA,NA,,[33033],1,RDC_INC_PAN_s_017_T_775850_taxon_report,PAN017,PtCl4 eSISPA,0,0,160.116,oral swab
56688,2,56688,Halorubrum,,archaea,FALSE,157.218,69446,93,NA,NA,80.2888,124.624,10^-38.7801,NA,NA,NA,NA,NA,NA,NA,,"[2982524, 2497325]",0,RDC_INC_PAN_s_019_T_775854_taxon_report,PAN019,PtCl4 eSISPA,0,0,158.218,oral swab
